Label,Score,
POSITIVE,0.999874592,
POSITIVE,0.649070501,
POSITIVE,0.998618245,
POSITIVE,0.999811232,
POSITIVE,0.999433458,
POSITIVE,0.999854922,
POSITIVE,0.998473823,
POSITIVE,0.999854803,
POSITIVE,0.999681473,
NEGATIVE,0.999748647,
POSITIVE,0.999877095,
POSITIVE,0.999879479,
POSITIVE,0.999749959,
NEGATIVE,0.99980253,
F,,A
POSITIVE,0.999729455,
F,,A
POSITIVE,0.99987781,
POSITIVE,0.999813974,
NEGATIVE,0.999076128,
POSITIVE,0.999542713,
NEGATIVE,0.999808848,
POSITIVE,0.999879837,
POSITIVE,0.999700546,
NEGATIVE,0.998015523,
NEGATIVE,0.95258981,
NEGATIVE,0.999744952,
NEGATIVE,0.997616053,
POSITIVE,0.999842167,
F,,A
POSITIVE,0.999882579,
NEGATIVE,0.990124941,
NEGATIVE,0.999621511,
F,,A
F,,A
NEGATIVE,0.999361217,
NEGATIVE,0.99979347,
POSITIVE,0.999689698,
NEGATIVE,0.999780357,
POSITIVE,0.999863148,
POSITIVE,0.9998312,
NEGATIVE,0.975127995,
POSITIVE,0.997989058,
POSITIVE,0.913821459,
POSITIVE,0.999292731,
POSITIVE,0.999880791,
NEGATIVE,0.997857273,
F,,A
F,,A
POSITIVE,0.999015212,
F,,A
POSITIVE,0.996510923,
NEGATIVE,0.999796689,
POSITIVE,0.999540329,
POSITIVE,0.998929799,
POSITIVE,0.999806821,
NEGATIVE,0.999771416,
NEGATIVE,0.986887395,
F,,A
F,,A
F,,A
POSITIVE,0.999653578,
POSITIVE,0.999774277,
POSITIVE,0.998657823,
NEGATIVE,0.98193562,
NEGATIVE,0.773181498,
NEGATIVE,0.990973234,
POSITIVE,0.999859333,
POSITIVE,0.999872684,
POSITIVE,0.999859095,
NEGATIVE,0.992938459,
NEGATIVE,0.999810278,
POSITIVE,0.998940051,
F,,A
POSITIVE,0.999853611,
POSITIVE,0.999588907,
POSITIVE,0.999560297,
POSITIVE,0.987613022,
POSITIVE,0.999859691,
POSITIVE,0.99933809,
POSITIVE,0.898506343,
F,,A
POSITIVE,0.984857321,
POSITIVE,0.576431513,
POSITIVE,0.999862552,
POSITIVE,0.999579132,
NEGATIVE,0.99971658,
POSITIVE,0.999890327,
POSITIVE,0.999861002,
POSITIVE,0.999791682,
POSITIVE,0.999869704,
F,,A
POSITIVE,0.999885917,
POSITIVE,0.998947442,
POSITIVE,0.999290705,
F,,A
NEGATIVE,0.997094274,
NEGATIVE,0.994696736,
F,,A
F,,A
POSITIVE,0.999830723,
NEGATIVE,0.99120456,
POSITIVE,0.999879599,
F,,A
POSITIVE,0.999815285,
POSITIVE,0.999870181,
POSITIVE,0.999060214,
NEGATIVE,0.996352553,
POSITIVE,0.993665099,
POSITIVE,0.992707789,
NEGATIVE,0.993247986,
POSITIVE,0.942274988,
NEGATIVE,0.999724209,
F,,A
POSITIVE,0.999887347,
POSITIVE,0.999880433,
F,,A
NEGATIVE,0.999291897,
POSITIVE,0.999876142,
F,,A
POSITIVE,0.992300749,
F,,A
F,,A
NEGATIVE,0.980150461,
POSITIVE,0.999831796,
NEGATIVE,0.999806345,
POSITIVE,0.999080062,
NEGATIVE,0.999806106,
NEGATIVE,0.998798609,
NEGATIVE,0.999689937,
POSITIVE,0.999259531,
POSITIVE,0.99969399,
F,,A
POSITIVE,0.999847531,
NEGATIVE,0.99446857,
POSITIVE,0.999640942,
POSITIVE,0.999889731,
F,,A
NEGATIVE,0.991146743,
POSITIVE,0.999866724,
POSITIVE,0.99977988,
POSITIVE,0.999885201,
NEGATIVE,0.982498229,
F,,A
F,,A
NEGATIVE,0.999598324,
NEGATIVE,0.984479129,
POSITIVE,0.999604881,
NEGATIVE,0.999793351,
POSITIVE,0.984384418,
F,,A
POSITIVE,0.999733031,
POSITIVE,0.994892001,
POSITIVE,0.999872327,
POSITIVE,0.999881625,
POSITIVE,0.999537468,
POSITIVE,0.999707282,
POSITIVE,0.999594867,
F,,A
POSITIVE,0.999480784,
POSITIVE,0.999115169,
POSITIVE,0.999658704,
POSITIVE,0.999860883,
NEGATIVE,0.842625976,
NEGATIVE,0.997404397,
F,,A
NEGATIVE,0.967554569,
POSITIVE,0.999860287,
POSITIVE,0.995596707,
NEGATIVE,0.691509426,
POSITIVE,0.999834299,
POSITIVE,0.999811113,
POSITIVE,0.90568459,
POSITIVE,0.999795973,
POSITIVE,0.999885321,
F,,A
POSITIVE,0.999833345,
NEGATIVE,0.980049729,
NEGATIVE,0.925671756,
POSITIVE,0.999871612,
POSITIVE,0.99988699,
POSITIVE,0.999444067,
POSITIVE,0.999707162,
NEGATIVE,0.997267008,
NEGATIVE,0.997938573,
NEGATIVE,0.998130858,
POSITIVE,0.996857762,
POSITIVE,0.9996351,
POSITIVE,0.544522524,
NEGATIVE,0.999810159,
POSITIVE,0.992727399,
POSITIVE,0.999230504,
POSITIVE,0.985407889,
NEGATIVE,0.999795496,
POSITIVE,0.999838948,
POSITIVE,0.998671532,
POSITIVE,0.988216341,
POSITIVE,0.999886513,
POSITIVE,0.999877572,
POSITIVE,0.999843359,
NEGATIVE,0.999802649,
NEGATIVE,0.994570315,
POSITIVE,0.998978853,
NEGATIVE,0.999815047,
POSITIVE,0.998989761,
NEGATIVE,0.998103738,
POSITIVE,0.965927064,
POSITIVE,0.77859199,
NEGATIVE,0.999785483,
NEGATIVE,0.999600112,
NEGATIVE,0.997251093,
NEGATIVE,0.943495154,
POSITIVE,0.999886274,
POSITIVE,0.999813259,
NEGATIVE,0.999405026,
POSITIVE,0.999891162,
NEGATIVE,0.921025157,
POSITIVE,0.999875903,
F,,A
POSITIVE,0.999819338,
POSITIVE,0.999853849,
NEGATIVE,0.999652147,
POSITIVE,0.983490884,
POSITIVE,0.999540329,
POSITIVE,0.999876022,
POSITIVE,0.999812663,
F,,A
F,,A
NEGATIVE,0.999804795,
POSITIVE,0.99977237,
POSITIVE,0.999693513,
POSITIVE,0.688926458,
POSITIVE,0.999877095,
POSITIVE,0.999869347,
POSITIVE,0.999861002,
POSITIVE,0.999862909,
F,,A
POSITIVE,0.999884605,
NEGATIVE,0.998570561,
POSITIVE,0.999645591,
POSITIVE,0.999877691,
NEGATIVE,0.999081016,
POSITIVE,0.999608696,
POSITIVE,0.999878526,
POSITIVE,0.999283969,
NEGATIVE,0.995392084,
NEGATIVE,0.999566853,
POSITIVE,0.931967437,
POSITIVE,0.999888659,
POSITIVE,0.999769509,
POSITIVE,0.999706328,
NEGATIVE,0.99005872,
F,,A
POSITIVE,0.999718726,
NEGATIVE,0.915942073,
POSITIVE,0.997926593,
POSITIVE,0.999836326,
F,,A
NEGATIVE,0.995319784,
F,,A
POSITIVE,0.999882579,
NEGATIVE,0.998464584,
POSITIVE,0.999855399,
POSITIVE,0.997999251,
POSITIVE,0.999849319,
POSITIVE,0.769217014,
POSITIVE,0.99964571,
NEGATIVE,0.998558342,
NEGATIVE,0.98506248,
POSITIVE,0.999775589,
NEGATIVE,0.984006464,
NEGATIVE,0.971137524,
POSITIVE,0.999888659,
POSITIVE,0.999888897,
F,,A
POSITIVE,0.999725997,
F,,A
POSITIVE,0.99960345,
POSITIVE,0.999831676,
POSITIVE,0.999840498,
POSITIVE,0.99969697,
POSITIVE,0.999876857,
F,,A
POSITIVE,0.999882698,
POSITIVE,0.999882698,
POSITIVE,0.999887943,
POSITIVE,0.999851465,
NEGATIVE,0.98185581,
POSITIVE,0.770162046,
NEGATIVE,0.97030443,
POSITIVE,0.999836445,
POSITIVE,0.999707878,
NEGATIVE,0.792145371,
NEGATIVE,0.940137506,
POSITIVE,0.944065154,
POSITIVE,0.99892199,
POSITIVE,0.999865651,
F,,A
POSITIVE,0.908950925,
NEGATIVE,0.997267485,
POSITIVE,0.999891281,
F,,A
F,,A
POSITIVE,0.929421723,
POSITIVE,0.999816,
F,,A
POSITIVE,0.998544693,
POSITIVE,0.999798715,
F,,A
POSITIVE,0.999851823,
POSITIVE,0.999298215,
POSITIVE,0.999709547,
POSITIVE,0.999813378,
F,,A
NEGATIVE,0.502153695,
F,,A
POSITIVE,0.999885917,
POSITIVE,0.99986589,
NEGATIVE,0.994493484,
NEGATIVE,0.994380772,
POSITIVE,0.999843359,
POSITIVE,0.999449313,
POSITIVE,0.757445872,
POSITIVE,0.999635458,
POSITIVE,0.999875069,
POSITIVE,0.832039416,
NEGATIVE,0.99357301,
POSITIVE,0.999867082,
POSITIVE,0.999795854,
NEGATIVE,0.999636769,
F,,A
F,,A
NEGATIVE,0.980327785,
NEGATIVE,0.999715865,
POSITIVE,0.999876738,
POSITIVE,0.9992944,
NEGATIVE,0.975127697,
POSITIVE,0.999825418,
POSITIVE,0.999853611,
POSITIVE,0.999855399,
POSITIVE,0.993652105,
POSITIVE,0.99988389,
NEGATIVE,0.82729423,
POSITIVE,0.999883533,
NEGATIVE,0.989791095,
POSITIVE,0.993765354,
POSITIVE,0.999883294,
F,,A
F,,A
POSITIVE,0.999866962,
POSITIVE,0.998817623,
POSITIVE,0.999648571,
NEGATIVE,0.997944295,
POSITIVE,0.999855042,
POSITIVE,0.999809206,
POSITIVE,0.986851394,
POSITIVE,0.784837961,
POSITIVE,0.999677896,
POSITIVE,0.999885082,
F,,A
NEGATIVE,0.976196766,
POSITIVE,0.999805748,
POSITIVE,0.969134688,
NEGATIVE,0.998837769,
POSITIVE,0.999839306,
POSITIVE,0.999873281,
NEGATIVE,0.939605057,
NEGATIVE,0.973615944,
POSITIVE,0.999887824,
POSITIVE,0.999878883,
POSITIVE,0.999605119,
POSITIVE,0.997652471,
NEGATIVE,0.981854558,
POSITIVE,0.909760237,
F,,A
POSITIVE,0.999837756,
F,,A
POSITIVE,0.999836683,
F,,A
POSITIVE,0.999843717,
POSITIVE,0.999883652,
POSITIVE,0.999753296,
POSITIVE,0.99987793,
POSITIVE,0.999878764,
POSITIVE,0.988090873,
POSITIVE,0.997869134,
POSITIVE,0.999797165,
POSITIVE,0.996570826,
POSITIVE,0.99987483,
F,,A
POSITIVE,0.998557031,
POSITIVE,0.999851346,
NEGATIVE,0.971692741,
POSITIVE,0.999638319,
POSITIVE,0.997851133,
POSITIVE,0.999869466,
POSITIVE,0.999869943,
POSITIVE,0.998348117,
POSITIVE,0.99790132,
NEGATIVE,0.999812663,
NEGATIVE,0.977207124,
POSITIVE,0.999782264,
NEGATIVE,0.9908517,
POSITIVE,0.999859691,
POSITIVE,0.999725163,
NEGATIVE,0.950975597,
POSITIVE,0.999591053,
NEGATIVE,0.999502659,
POSITIVE,0.99974829,
NEGATIVE,0.999808967,
NEGATIVE,0.999803364,
POSITIVE,0.999838591,
NEGATIVE,0.996157587,
NEGATIVE,0.995433509,
POSITIVE,0.998111844,
POSITIVE,0.999462664,
NEGATIVE,0.999807298,
NEGATIVE,0.999712527,
POSITIVE,0.999854684,
NEGATIVE,0.969284415,
F,,A
POSITIVE,0.999874711,
POSITIVE,0.999858737,
POSITIVE,0.999882817,
POSITIVE,0.99988699,
POSITIVE,0.999883652,
POSITIVE,0.999866247,
POSITIVE,0.99985218,
POSITIVE,0.99984479,
F,,A
F,,A
POSITIVE,0.999839902,
NEGATIVE,0.999723017,
POSITIVE,0.999865651,
POSITIVE,0.96871388,
POSITIVE,0.999863863,
POSITIVE,0.998357475,
NEGATIVE,0.999786079,
POSITIVE,0.999887586,
POSITIVE,0.997753441,
POSITIVE,0.999702394,
POSITIVE,0.999855995,
POSITIVE,0.998492241,
NEGATIVE,0.959521353,
NEGATIVE,0.999406338,
F,,A
POSITIVE,0.998592913,
POSITIVE,0.999552071,
POSITIVE,0.999696255,
POSITIVE,0.984528005,
NEGATIVE,0.999680877,
NEGATIVE,0.999809325,
NEGATIVE,0.985639036,
F,,A
POSITIVE,0.999870896,
POSITIVE,0.999601185,
POSITIVE,0.99964118,
POSITIVE,0.999880791,
F,,A
POSITIVE,0.999872923,
POSITIVE,0.999877095,
POSITIVE,0.999875665,
F,,A
F,,A
POSITIVE,0.996478975,
POSITIVE,0.999854922,
POSITIVE,0.999235868,
POSITIVE,0.999870658,
POSITIVE,0.999477565,
POSITIVE,0.999706089,
POSITIVE,0.999757469,
POSITIVE,0.99516052,
POSITIVE,0.999869466,
POSITIVE,0.999862432,
F,,A
POSITIVE,0.999864578,
POSITIVE,0.99260807,
POSITIVE,0.940180242,
F,,A
NEGATIVE,0.999531269,
POSITIVE,0.999882936,
POSITIVE,0.999881029,
NEGATIVE,0.973673284,
POSITIVE,0.999816477,
POSITIVE,0.999867439,
POSITIVE,0.999867439,
NEGATIVE,0.995619118,
POSITIVE,0.999876022,
POSITIVE,0.999869466,
POSITIVE,0.999273121,
NEGATIVE,0.999245644,
POSITIVE,0.999874711,
POSITIVE,0.999836802,
F,,A
F,,A
POSITIVE,0.999805152,
POSITIVE,0.999885559,
POSITIVE,0.999879956,
F,,A
F,,A
POSITIVE,0.999867678,
POSITIVE,0.999876618,
POSITIVE,0.9998523,
NEGATIVE,0.998071611,
F,,A
POSITIVE,0.977581799,
POSITIVE,0.999388099,
POSITIVE,0.999872327,
POSITIVE,0.999720037,
NEGATIVE,0.997995734,
NEGATIVE,0.999790728,
NEGATIVE,0.797534883,
NEGATIVE,0.999070346,
NEGATIVE,0.999421358,
POSITIVE,0.999812901,
F,,A
NEGATIVE,0.998619556,
NEGATIVE,0.923853159,
POSITIVE,0.999808609,
F,,A
F,,A
POSITIVE,0.999871254,
F,,A
POSITIVE,0.999867439,
POSITIVE,0.999855757,
POSITIVE,0.972789586,
NEGATIVE,0.998607337,
POSITIVE,0.999659777,
POSITIVE,0.998977304,
POSITIVE,0.99982965,
POSITIVE,0.99985683,
NEGATIVE,0.999693751,
POSITIVE,0.999846578,
F,,A
POSITIVE,0.999659657,
NEGATIVE,0.997270644,
POSITIVE,0.920985222,
POSITIVE,0.999875069,
POSITIVE,0.999838591,
POSITIVE,0.999871135,
POSITIVE,0.999864936,
NEGATIVE,0.994963527,
POSITIVE,0.999860883,
POSITIVE,0.999883533,
POSITIVE,0.999827743,
POSITIVE,0.710752487,
POSITIVE,0.99988389,
POSITIVE,0.999889493,
POSITIVE,0.999866843,
POSITIVE,0.999857306,
POSITIVE,0.931726873,
NEGATIVE,0.965507805,
POSITIVE,0.999870777,
F,,A
POSITIVE,0.99987793,
POSITIVE,0.999131739,
POSITIVE,0.999881148,
NEGATIVE,0.999745667,
POSITIVE,0.999771059,
NEGATIVE,0.982585788,
POSITIVE,0.999405622,
F,,A
POSITIVE,0.99988687,
F,,A
POSITIVE,0.999887705,
POSITIVE,0.998527765,
NEGATIVE,0.908576906,
POSITIVE,0.999823272,
POSITIVE,0.999756157,
POSITIVE,0.999877572,
POSITIVE,0.999863505,
POSITIVE,0.999883294,
POSITIVE,0.999517441,
POSITIVE,0.999872804,
NEGATIVE,0.999093056,
POSITIVE,0.999835014,
NEGATIVE,0.993189454,
NEGATIVE,0.999454439,
POSITIVE,0.999718964,
POSITIVE,0.999862552,
NEGATIVE,0.803254306,
NEGATIVE,0.999748409,
POSITIVE,0.999412298,
POSITIVE,0.99932456,
POSITIVE,0.913933992,
NEGATIVE,0.999735892,
NEGATIVE,0.999481857,
F,,A
POSITIVE,0.997502863,
NEGATIVE,0.982721508,
POSITIVE,0.996896863,
POSITIVE,0.976430237,
F,,A
F,,A
POSITIVE,0.998622656,
POSITIVE,0.999889493,
POSITIVE,0.902213812,
NEGATIVE,0.995266557,
POSITIVE,0.999821723,
F,,A
NEGATIVE,0.998558462,
F,,A
F,,A
POSITIVE,0.999875903,
F,,A
POSITIVE,0.999369562,
F,,A
POSITIVE,0.99987793,
POSITIVE,0.999818861,
POSITIVE,0.999859214,
F,,A
POSITIVE,0.998411298,
NEGATIVE,0.949472129,
F,,A
POSITIVE,0.999068916,
NEGATIVE,0.940234423,
F,,A
POSITIVE,0.99988687,
NEGATIVE,0.995264769,
F,,A
NEGATIVE,0.999808729,
NEGATIVE,0.99875164,
NEGATIVE,0.999557674,
POSITIVE,0.999802411,
POSITIVE,0.993937731,
NEGATIVE,0.999752223,
POSITIVE,0.999641418,
NEGATIVE,0.996947825,
POSITIVE,0.999878883,
POSITIVE,0.999798834,
POSITIVE,0.999768078,
POSITIVE,0.999875307,
F,,A
POSITIVE,0.999842405,
POSITIVE,0.944875002,
NEGATIVE,0.987037897,
NEGATIVE,0.995216489,
POSITIVE,0.999883771,
POSITIVE,0.999365032,
F,,A
F,,A
POSITIVE,0.999623895,
NEGATIVE,0.999167204,
POSITIVE,0.99985218,
NEGATIVE,0.999802887,
NEGATIVE,0.999715269,
F,,A
POSITIVE,0.991972923,
POSITIVE,0.99928695,
POSITIVE,0.99852246,
POSITIVE,0.999861598,
POSITIVE,0.999832034,
POSITIVE,0.999731362,
F,,A
POSITIVE,0.999885917,
POSITIVE,0.999825418,
POSITIVE,0.999481738,
F,,A
POSITIVE,0.999878287,
POSITIVE,0.999433815,
NEGATIVE,0.995843589,
POSITIVE,0.999345601,
POSITIVE,0.999862909,
POSITIVE,0.99988687,
NEGATIVE,0.999542117,
NEGATIVE,0.999262154,
NEGATIVE,0.99969852,
POSITIVE,0.999834299,
POSITIVE,0.999640465,
NEGATIVE,0.999073505,
F,,A
F,,A
POSITIVE,0.999171376,
NEGATIVE,0.970763266,
POSITIVE,0.890703082,
NEGATIVE,0.99969101,
F,,A
POSITIVE,0.999842167,
NEGATIVE,0.989855409,
NEGATIVE,0.999124825,
POSITIVE,0.535702765,
POSITIVE,0.996615469,
POSITIVE,0.998944223,
POSITIVE,0.999862909,
NEGATIVE,0.999402523,
F,,A
NEGATIVE,0.999298811,
POSITIVE,0.999868393,
POSITIVE,0.999790728,
POSITIVE,0.99988842,
POSITIVE,0.999349535,
F,,A
POSITIVE,0.991585255,
POSITIVE,0.999880433,
NEGATIVE,0.999798596,
POSITIVE,0.99986732,
POSITIVE,0.999740422,
NEGATIVE,0.998606503,
POSITIVE,0.993456066,
POSITIVE,0.999872208,
POSITIVE,0.999880314,
POSITIVE,0.99986136,
POSITIVE,0.999881864,
POSITIVE,0.999083281,
POSITIVE,0.999855042,
POSITIVE,0.999803245,
POSITIVE,0.999873042,
NEGATIVE,0.897438407,
NEGATIVE,0.956473231,
F,,A
POSITIVE,0.998224199,
POSITIVE,0.999804556,
POSITIVE,0.99769789,
POSITIVE,0.999874115,
POSITIVE,0.999888778,
NEGATIVE,0.883397341,
POSITIVE,0.994130075,
POSITIVE,0.999175131,
NEGATIVE,0.999805033,
POSITIVE,0.999882698,
POSITIVE,0.999052942,
POSITIVE,0.999876499,
POSITIVE,0.99964118,
NEGATIVE,0.999767601,
POSITIVE,0.800867498,
NEGATIVE,0.994423926,
POSITIVE,0.999634981,
POSITIVE,0.996428192,
NEGATIVE,0.999481857,
NEGATIVE,0.999044836,
POSITIVE,0.999879479,
POSITIVE,0.687411308,
POSITIVE,0.999868035,
POSITIVE,0.999385715,
POSITIVE,0.98206836,
POSITIVE,0.99967742,
F,,A
NEGATIVE,0.996664464,
NEGATIVE,0.999180377,
POSITIVE,0.999690175,
F,,A
POSITIVE,0.984951258,
NEGATIVE,0.939338267,
NEGATIVE,0.996765018,
POSITIVE,0.999846101,
POSITIVE,0.999875069,
POSITIVE,0.999860168,
NEGATIVE,0.999489784,
F,,A
POSITIVE,0.999881506,
F,,A
NEGATIVE,0.987594068,
POSITIVE,0.999867439,
NEGATIVE,0.999780238,
POSITIVE,0.999746025,
F,,A
POSITIVE,0.999879241,
POSITIVE,0.999886632,
POSITIVE,0.999708474,
NEGATIVE,0.751369774,
F,,A
POSITIVE,0.999844432,
POSITIVE,0.999822676,
POSITIVE,0.999005854,
F,,A
POSITIVE,0.992165565,
POSITIVE,0.999624252,
POSITIVE,0.999728262,
POSITIVE,0.99771899,
NEGATIVE,0.990788162,
POSITIVE,0.999869466,
F,,A
POSITIVE,0.99988997,
POSITIVE,0.999839902,
POSITIVE,0.999645114,
POSITIVE,0.999861121,
F,,A
NEGATIVE,0.999542594,
POSITIVE,0.995674908,
POSITIVE,0.999859452,
POSITIVE,0.976103127,
POSITIVE,0.999864697,
NEGATIVE,0.999561608,
POSITIVE,0.997854054,
F,,A
POSITIVE,0.999473751,
POSITIVE,0.875435472,
POSITIVE,0.999852061,
POSITIVE,0.999775231,
POSITIVE,0.969287753,
NEGATIVE,0.974569857,
POSITIVE,0.974354327,
POSITIVE,0.982751548,
F,,A
POSITIVE,0.999837399,
NEGATIVE,0.558393359,
POSITIVE,0.999873519,
F,,A
NEGATIVE,0.699455202,
NEGATIVE,0.999801934,
POSITIVE,0.999562323,
POSITIVE,0.999853253,
POSITIVE,0.789031625,
POSITIVE,0.999880433,
POSITIVE,0.997971117,
F,,A
POSITIVE,0.999874592,
F,,A
F,,A
POSITIVE,0.9998281,
F,,A
POSITIVE,0.998528481,
POSITIVE,0.999886632,
POSITIVE,0.999835014,
F,,A
POSITIVE,0.999859333,
POSITIVE,0.999879479,
POSITIVE,0.999833226,
POSITIVE,0.998660684,
POSITIVE,0.99980849,
POSITIVE,0.999851227,
POSITIVE,0.999744236,
POSITIVE,0.999875069,
POSITIVE,0.99816221,
POSITIVE,0.999879122,
NEGATIVE,0.980738997,
POSITIVE,0.99976474,
POSITIVE,0.999871969,
NEGATIVE,0.999720752,
NEGATIVE,0.988205314,
POSITIVE,0.999804795,
POSITIVE,0.999828219,
POSITIVE,0.999864459,
POSITIVE,0.999866009,
POSITIVE,0.999879122,
NEGATIVE,0.999731719,
NEGATIVE,0.973673582,
NEGATIVE,0.989565611,
POSITIVE,0.999848723,
F,,A
POSITIVE,0.99979645,
POSITIVE,0.999839067,
POSITIVE,0.999767721,
POSITIVE,0.997409165,
POSITIVE,0.999883056,
POSITIVE,0.99975282,
POSITIVE,0.999887943,
POSITIVE,0.999793828,
POSITIVE,0.999761164,
POSITIVE,0.999885201,
F,,A
POSITIVE,0.999850273,
POSITIVE,0.999865413,
POSITIVE,0.99987793,
POSITIVE,0.999599755,
NEGATIVE,0.964798689,
POSITIVE,0.999834657,
POSITIVE,0.999864459,
POSITIVE,0.999878049,
POSITIVE,0.999827743,
POSITIVE,0.999856472,
POSITIVE,0.997617662,
POSITIVE,0.999787867,
NEGATIVE,0.885277212,
POSITIVE,0.999866009,
POSITIVE,0.999287665,
POSITIVE,0.989528716,
POSITIVE,0.931496143,
POSITIVE,0.999586642,
POSITIVE,0.999874949,
POSITIVE,0.999859214,
POSITIVE,0.987819672,
POSITIVE,0.999860764,
POSITIVE,0.533640325,
POSITIVE,0.999862075,
POSITIVE,0.999044001,
NEGATIVE,0.99587065,
POSITIVE,0.999823987,
POSITIVE,0.831917226,
POSITIVE,0.999740183,
POSITIVE,0.999870777,
POSITIVE,0.99867779,
POSITIVE,0.999853849,
POSITIVE,0.999848366,
POSITIVE,0.999817669,
NEGATIVE,0.997726023,
POSITIVE,0.995925069,
POSITIVE,0.999302268,
POSITIVE,0.999495506,
F,,A
POSITIVE,0.999740183,
NEGATIVE,0.987239897,
POSITIVE,0.999880314,
POSITIVE,0.999880791,
POSITIVE,0.995772421,
POSITIVE,0.984998286,
POSITIVE,0.999892831,
NEGATIVE,0.998583674,
POSITIVE,0.985604703,
POSITIVE,0.997531652,
NEGATIVE,0.999786317,
F,,A
POSITIVE,0.999809206,
NEGATIVE,0.982890427,
POSITIVE,0.999889255,
POSITIVE,0.998242617,
POSITIVE,0.999874592,
POSITIVE,0.999826491,
NEGATIVE,0.999756992,
POSITIVE,0.999882221,
POSITIVE,0.999843955,
POSITIVE,0.999880075,
NEGATIVE,0.998319805,
POSITIVE,0.999876618,
POSITIVE,0.999875307,
POSITIVE,0.999880791,
NEGATIVE,0.99699533,
POSITIVE,0.998087049,
POSITIVE,0.999881864,
POSITIVE,0.99885416,
POSITIVE,0.999870658,
POSITIVE,0.999845743,
POSITIVE,0.999858975,
POSITIVE,0.999877095,
NEGATIVE,0.997935772,
NEGATIVE,0.99827373,
F,,A
POSITIVE,0.999773085,
POSITIVE,0.999871373,
POSITIVE,0.927672327,
POSITIVE,0.999832988,
POSITIVE,0.999874115,
NEGATIVE,0.999813616,
POSITIVE,0.999884963,
POSITIVE,0.999848008,
POSITIVE,0.999370515,
POSITIVE,0.999861717,
POSITIVE,0.920922875,
NEGATIVE,0.982576251,
POSITIVE,0.997739792,
POSITIVE,0.999882936,
NEGATIVE,0.97800684,
NEGATIVE,0.999342024,
POSITIVE,0.999880195,
F,,A
NEGATIVE,0.998823464,
POSITIVE,0.998436749,
POSITIVE,0.999866486,
POSITIVE,0.99987483,
POSITIVE,0.99982363,
POSITIVE,0.999876738,
POSITIVE,0.999680996,
NEGATIVE,0.998777568,
POSITIVE,0.999873519,
F,,A
POSITIVE,0.999667406,
POSITIVE,0.998695791,
NEGATIVE,0.825483084,
NEGATIVE,0.992455959,
NEGATIVE,0.992141008,
NEGATIVE,0.817352891,
POSITIVE,0.999863744,
POSITIVE,0.999889016,
NEGATIVE,0.993913829,
F,,A
POSITIVE,0.999880552,
POSITIVE,0.999849796,
POSITIVE,0.999389887,
POSITIVE,0.999846458,
POSITIVE,0.999882221,
NEGATIVE,0.903038681,
POSITIVE,0.999185145,
POSITIVE,0.999793708,
POSITIVE,0.999884605,
NEGATIVE,0.988887846,
POSITIVE,0.999887824,
POSITIVE,0.999881744,
NEGATIVE,0.999134958,
NEGATIVE,0.999610484,
POSITIVE,0.999648452,
NEGATIVE,0.999657989,
POSITIVE,0.996823668,
POSITIVE,0.999749243,
POSITIVE,0.956453502,
NEGATIVE,0.998767257,
POSITIVE,0.999845982,
POSITIVE,0.999846816,
POSITIVE,0.99987936,
POSITIVE,0.999855518,
POSITIVE,0.999831438,
NEGATIVE,0.999563277,
NEGATIVE,0.999091983,
NEGATIVE,0.989648938,
POSITIVE,0.999874949,
POSITIVE,0.999652147,
NEGATIVE,0.999729812,
NEGATIVE,0.982177615,
POSITIVE,0.999658465,
POSITIVE,0.999850988,
POSITIVE,0.999780595,
POSITIVE,0.999869466,
POSITIVE,0.99988091,
POSITIVE,0.999772966,
POSITIVE,0.999821007,
NEGATIVE,0.998160064,
NEGATIVE,0.999789298,
POSITIVE,0.998778641,
POSITIVE,0.999892116,
POSITIVE,0.999842525,
POSITIVE,0.999726593,
POSITIVE,0.999871492,
POSITIVE,0.997311831,
POSITIVE,0.999854803,
NEGATIVE,0.999577582,
NEGATIVE,0.985677123,
POSITIVE,0.999812186,
F,,A
NEGATIVE,0.99955827,
POSITIVE,0.99963212,
POSITIVE,0.999552786,
POSITIVE,0.99980098,
F,,A
POSITIVE,0.99975127,
NEGATIVE,0.990355968,
NEGATIVE,0.999797761,
POSITIVE,0.969239712,
NEGATIVE,0.999642968,
POSITIVE,0.799612105,
POSITIVE,0.999738395,
F,,A
NEGATIVE,0.999442995,
POSITIVE,0.99980396,
NEGATIVE,0.998987973,
POSITIVE,0.986127377,
F,,A
POSITIVE,0.999847293,
F,,A
F,,A
POSITIVE,0.999866605,
POSITIVE,0.999792993,
NEGATIVE,0.995858967,
POSITIVE,0.999557078,
POSITIVE,0.999871254,
POSITIVE,0.999632835,
NEGATIVE,0.998754859,
POSITIVE,0.999884486,
POSITIVE,0.689288378,
NEGATIVE,0.999782264,
POSITIVE,0.999779999,
NEGATIVE,0.993543744,
POSITIVE,0.9988482,
F,,A
POSITIVE,0.999830246,
POSITIVE,0.767265677,
POSITIVE,0.892084241,
NEGATIVE,0.878337502,
NEGATIVE,0.998365343,
POSITIVE,0.999263585,
POSITIVE,0.999749005,
POSITIVE,0.997143328,
F,,A
POSITIVE,0.99986887,
F,,A
F,,A
F,,A
POSITIVE,0.99630934,
POSITIVE,0.999608576,
NEGATIVE,0.993350804,
POSITIVE,0.999835849,
F,,A
POSITIVE,0.999886513,
F,,A
